City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
292,Sungai Besar,MY,79.83,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
299,Valleyview,CA,61.79,overcast clouds,55.0667,-117.2859,Paradise Inn & Suites
300,Adilcevaz,TR,60.06,clear sky,38.8039,42.7342,Adilcevaz Ogretmen Evi
305,Halifax,CA,74.41,overcast clouds,44.6453,-63.5724,Hotel Halifax
306,Pemba,MZ,76.68,light rain,-12.974,40.5178,Guesthouse Samotina
310,Fort Nelson,CA,63.99,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
311,Severnyy,RU,60.84,clear sky,50.677,36.5532,Full House North Mini-Hotel
312,Rosetta,EG,70.57,clear sky,31.4044,30.4164,Green Valley
313,Shymkent,KZ,79.39,clear sky,42.3,69.6,Orbita Boutique Hotel
315,Durres,AL,66.38,overcast clouds,41.3231,19.4414,Palace Hotel & Spa Durrës
318,Kisarawe,TZ,69.51,scattered clouds,-6.9,39.0667,Lenga Guest House
319,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
320,Polewali,ID,76.69,broken clouds,-3.4324,119.3435,Lilianto Hotel
321,Maputo,MZ,61.23,scattered clouds,-25.9653,32.5892,Pestana Rovuma
323,Vao,NC,72.43,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
325,Abbeville,FR,62.28,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
326,Leshan,CN,66.94,light rain,29.5623,103.7639,Leshan Haiyun International Youth Hostel
327,Sungaipenuh,ID,64.87,light rain,-2.0833,101.3833,Hotel Jaya Wisata 2
331,Karratha,AU,70.14,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
333,Fernie,CA,77.61,clear sky,49.5,-115.0687,Fernie Stanford Resort
334,Inhambane,MZ,64.26,light rain,-23.865,35.3833,Oceano
335,Sioux Lookout,CA,77.07,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
336,Leshukonskoye,RU,63.37,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
337,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
338,Nacala,MZ,70.84,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
339,Rorvik,NO,66.31,clear sky,64.8621,11.2373,Kysthotellet Rørvik AS
341,Yarmouth,US,73.11,mist,41.7057,-70.2286,Blue Rock Resort
344,Namibe,AO,71.87,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
352,San Quintin,MX,69.94,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
354,Rio Cuarto,AR,64.83,overcast clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
355,Vila,PT,63.73,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
356,Kisangani,CD,71.1,moderate rain,0.5167,25.2,Grand Ramela Hotel
358,Luangwa,ZM,65.25,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
360,Sarkand,KZ,68.47,few clouds,45.41,79.9186,Гостиница Сарканд
361,Bangui,CF,71.17,light rain,4.3612,18.555,SAM HOTEL
362,Macia,MZ,62.4,light rain,-25.0269,33.0989,Hotel Taskin Macia
364,Kirakira,SB,79.68,scattered clouds,-10.4544,161.9205,SanBiz Lodge
368,Port Keats,AU,72.07,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
369,Matagami,CA,66.69,overcast clouds,49.7502,-77.6328,Hôtel Matagami
