City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
286,Tashtyp,RU,52.7939,89.8983,58.06,98,100,4.61,light rain
287,Lasa,IT,46.6166,10.7002,64.31,96,86,2.06,overcast clouds
288,Salalah,OM,17.0151,54.0924,80.71,80,100,2.62,overcast clouds
289,Iquitos,PE,-3.7481,-73.2472,85.32,69,45,2.71,scattered clouds
290,Nioro,GM,13.35,-15.75,103.96,18,92,6.29,overcast clouds
291,Richards Bay,ZA,-28.783,32.0377,61.09,70,36,9.66,scattered clouds
292,Sungai Besar,MY,3.6746,100.9867,79.83,87,100,7.85,overcast clouds
293,Hami,CN,42.8,93.45,83.46,24,12,12.06,few clouds
294,Pirovskoye,RU,57.6267,92.2658,48.54,70,100,6.35,overcast clouds
295,Vestmanna,FO,62.1564,-7.1664,47.32,100,90,13.53,overcast clouds
296,Mildura,AU,-34.2,142.15,43.47,70,0,4.16,clear sky
297,Santa Maria Do Para,BR,-1.3503,-47.5756,82.85,79,20,4.74,few clouds
298,Mount Isa,AU,-20.7333,139.5,58.77,58,78,9.22,broken clouds
299,Valleyview,CA,55.0667,-117.2859,61.79,56,100,6.2,overcast clouds
300,Adilcevaz,TR,38.8039,42.7342,60.06,44,0,4.92,clear sky
301,Flinders,AU,-34.5833,150.8552,47.21,80,6,1.01,clear sky
302,Kamenka,RU,51.3223,42.7678,55.17,96,100,12.82,overcast clouds
303,Victoria,HK,22.2855,114.1577,80.94,85,100,8.01,overcast clouds
304,Santa Ana,US,33.7456,-117.8678,92.08,66,75,3.0,broken clouds
305,Halifax,CA,44.6453,-63.5724,74.41,84,100,4.0,overcast clouds
306,Pemba,MZ,-12.974,40.5178,76.68,79,0,13.15,light rain
307,Hervey Bay,AU,-25.2986,152.8535,55.04,78,0,1.01,clear sky
308,Uyuni,BO,-20.4597,-66.825,51.46,17,99,13.91,overcast clouds
309,Olafsvik,IS,64.8945,-23.7142,47.84,96,100,3.09,overcast clouds
310,Fort Nelson,CA,58.8053,-122.7002,63.99,34,40,5.75,scattered clouds
311,Severnyy,RU,50.677,36.5532,60.84,59,0,6.71,clear sky
312,Rosetta,EG,31.4044,30.4164,70.57,67,0,14.76,clear sky
313,Shymkent,KZ,42.3,69.6,79.39,32,0,9.35,clear sky
314,Bundaberg,AU,-24.85,152.35,55.22,79,0,4.0,clear sky
315,Durres,AL,41.3231,19.4414,66.38,72,100,3.58,overcast clouds
316,Mehran,IR,33.1222,46.1646,93.96,13,0,12.01,clear sky
317,Sembe,CG,1.6481,14.5806,75.11,84,85,2.89,overcast clouds
318,Kisarawe,TZ,-6.9,39.0667,69.51,94,26,4.79,scattered clouds
319,Ambon,ID,-3.6954,128.1814,77.14,94,40,5.03,scattered clouds
320,Polewali,ID,-3.4324,119.3435,76.69,91,75,3.51,broken clouds
321,Maputo,MZ,-25.9653,32.5892,61.23,71,40,8.01,scattered clouds
322,Vestmannaeyjar,IS,63.4427,-20.2734,47.97,97,100,9.64,overcast clouds
323,Vao,NC,-22.6667,167.4833,72.43,77,58,13.4,broken clouds
324,Juneau,US,58.3019,-134.4197,51.84,92,100,2.04,overcast clouds
325,Abbeville,FR,50.1,1.8333,62.28,95,98,9.44,overcast clouds
326,Leshan,CN,29.5623,103.7639,66.94,74,100,1.21,light rain
327,Sungaipenuh,ID,-2.0833,101.3833,64.87,97,100,0.72,light rain
328,Whitehorse,CA,60.7161,-135.0538,50.02,47,100,4.56,overcast clouds
329,Buraydah,SA,26.326,43.975,98.26,9,7,10.85,clear sky
330,Esperance,AU,-33.8667,121.9,56.41,67,42,13.27,scattered clouds
331,Karratha,AU,-20.7377,116.8463,70.14,48,94,9.06,overcast clouds
332,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.38,87,70,19.04,broken clouds
333,Fernie,CA,49.5,-115.0687,77.61,32,5,17.81,clear sky
334,Inhambane,MZ,-23.865,35.3833,64.26,82,69,14.58,light rain
335,Sioux Lookout,CA,50.1001,-91.917,77.07,52,96,5.19,overcast clouds
336,Leshukonskoye,RU,64.8989,45.7622,63.37,56,100,5.84,overcast clouds
337,Hasaki,JP,35.7333,140.8333,66.6,93,100,12.8,overcast clouds
338,Nacala,MZ,-14.5428,40.6728,70.84,91,3,9.82,light rain
339,Rorvik,NO,64.8621,11.2373,66.31,48,0,8.05,clear sky
340,Avera,US,33.194,-82.5271,90.28,45,100,1.79,overcast clouds
341,Yarmouth,US,41.7057,-70.2286,73.11,81,90,5.01,mist
342,Laguna,US,38.421,-121.4238,95.65,40,1,4.0,clear sky
343,Tirumullaivasal,IN,11.2333,79.8333,84.36,73,100,10.04,overcast clouds
344,Namibe,AO,-15.1961,12.1522,71.87,70,0,7.83,clear sky
345,Paamiut,GL,61.994,-49.6678,37.8,83,100,28.23,light rain
346,Broadstairs,GB,51.3591,1.4394,57.11,90,100,1.99,overcast clouds
347,Oktyabrskoye,RU,43.0645,44.7417,57.34,93,100,1.83,overcast clouds
348,Takoradi,GH,4.8845,-1.7554,80.2,81,79,10.2,light rain
