City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Oxford,51.7522,-1.256,45.64,92,20,5.61,GB,2021-05-26 01:48:08
121,Esperance,-33.8667,121.9,57.04,66,16,9.57,AU,2021-05-26 01:49:25
122,Seoul,37.5683,126.9778,67.57,52,0,8.43,KR,2021-05-26 01:48:37
123,Arraial Do Cabo,-22.9661,-42.0278,68.74,62,59,4.97,BR,2021-05-26 01:48:36
124,Kaitangata,-46.2817,169.8464,46.92,62,99,4.27,NZ,2021-05-26 01:49:26
125,Cherskiy,68.75,161.3,63.3,33,16,15.37,RU,2021-05-26 01:49:26
126,Dingle,10.9995,122.6711,85.37,70,100,4.36,PH,2021-05-26 01:49:26
127,Sungairaya,0.7,108.9,85.66,71,98,2.39,ID,2021-05-26 01:49:26
128,Drumnadrochit,57.3344,-4.4799,47.89,89,97,2.17,GB,2021-05-26 01:49:27
129,Ochakiv,46.6128,31.5498,55.54,84,7,4.72,UA,2021-05-26 01:49:27
130,Honiara,-9.4333,159.95,84.58,69,100,1.66,SB,2021-05-26 01:49:19
131,Geraldton,-28.7667,114.6,61.21,48,100,19.06,AU,2021-05-26 01:49:28
132,Veracruz,19.3333,-96.6667,77.86,81,85,1.34,MX,2021-05-26 01:49:28
133,Kyshtovka,56.555,76.6271,67.84,62,24,6.26,RU,2021-05-26 01:49:28
134,Altamont,42.2068,-121.7372,60.78,43,20,5.01,US,2021-05-26 01:49:29
135,Muyezerskiy,63.9333,31.65,37.89,93,100,5.75,RU,2021-05-26 01:49:29
136,Bloomingdale,27.8936,-82.2404,80.74,73,1,3.89,US,2021-05-26 01:49:30
137,Da Nang,16.0678,108.2208,89.58,62,20,2.3,VN,2021-05-26 01:49:30
138,Sovetskiy,61.3614,63.5842,55.74,70,100,3.74,RU,2021-05-26 01:44:59
139,Broome,42.2506,-75.833,71.1,81,100,5.01,US,2021-05-26 01:49:30
140,Sur,22.5667,59.5289,90.57,41,0,8.57,OM,2021-05-26 01:49:31
141,Zhanaozen,43.3,52.8,70.07,70,15,16.93,KZ,2021-05-26 01:49:31
142,Saint-Francois,46.4154,3.9054,49.44,76,0,4.61,FR,2021-05-26 01:49:31
143,Clyde River,70.4692,-68.5914,26.83,93,100,24.16,CA,2021-05-26 01:45:07
144,Vestmannaeyjar,63.4427,-20.2734,44.65,88,71,25.99,IS,2021-05-26 01:49:32
145,Sinjar,36.3209,41.8754,70.18,41,0,3.96,IQ,2021-05-26 01:49:32
146,Sistranda,63.7256,8.834,53.91,87,46,20.83,NO,2021-05-26 01:49:32
147,Tuatapere,-46.1333,167.6833,49.82,55,95,1.43,NZ,2021-05-26 01:44:45
148,Yuncheng,35.0231,110.9928,80.37,38,8,17.34,CN,2021-05-26 01:49:33
149,Kulhudhuffushi,6.6221,73.07,82.74,74,100,28.68,MV,2021-05-26 01:49:33
150,Victor Harbor,-35.5667,138.6167,60.91,66,40,1.99,AU,2021-05-26 01:49:33
151,Sibolga,1.7427,98.7792,84.38,71,80,1.14,ID,2021-05-26 01:47:52
152,Vila Do Maio,15.1333,-23.2167,72.39,81,0,16.06,CV,2021-05-26 01:47:56
153,Hobyo,5.3505,48.5268,78.39,80,77,19.71,SO,2021-05-26 01:49:34
154,Solnechnyy,50.7214,136.6319,37.89,86,100,6.55,RU,2021-05-26 01:49:35
155,Kodinsk,58.6881,99.1844,42.57,41,96,10.71,RU,2021-05-26 01:49:35
156,Tazovskiy,67.4667,78.7,29.53,64,38,2.93,RU,2021-05-26 01:49:35
157,Salisbury,51.0693,-1.7957,46.47,94,6,8.05,GB,2021-05-26 01:49:36
158,Bereda,43.2686,-7.5406,47.57,100,100,2.93,ES,2021-05-26 01:45:10
159,Lasa,46.6166,10.7002,39.61,67,17,2.04,IT,2021-05-26 01:48:50
160,Trelew,-43.249,-65.3051,47.53,45,100,8.25,AR,2021-05-26 01:48:17
161,Starozhilovo,54.2254,39.916,50.31,76,99,0.38,RU,2021-05-26 01:49:36
162,Airai,-8.9266,125.4092,72.18,54,15,5.23,TL,2021-05-26 01:45:27
163,Hailar,49.2,119.7,51.13,47,92,7.02,CN,2021-05-26 01:49:37
164,Alice Springs,-23.7,133.8833,56.75,38,0,17.85,AU,2021-05-26 01:46:04
